,GCF_002055515.1,GCF_003287895.1,GCF_002222595.2,GCF_000769635.1,GCF_000240185.1,GCF_023520795.1,GCF_001558775.1,GCF_010669205.1,GCF_900637655.1,GCF_009648975.1,GCF_000961215.1,GCF_016698705.1,GCF_008632635.1,GCF_900660465.1,GCF_008693705.1,GCF_001865765.1,GCF_015159595.1,GCF_016728665.1,GCF_000959505.1,GCF_003006415.1,GCF_000144405.1,GCF_020405345.1,GCF_016576965.1,GCF_003367905.1,GCF_900660445.2,GCF_001689125.2,GCF_017310215.1,GCF_000013425.1,GCF_006094375.1
9.B.104,0.67,0.67,0.67,0.67,0.0,0.67,0.0,0.0,1.0,0.0,0.0,0.33,0.33,0.67,0.67,1.0,0.33,0.0,0.33,0.33,0.67,1.0,0.33,0.67,0.33,0.67,0.67,1.0,1.0
9.B.105,0.4,0.4,0.2,0.8,0.6,0.4,0.4,0.0,0.6,0.2,0.2,0.6,0.6,0.2,0.6,0.4,0.6,0.4,0.4,0.8,0.2,0.4,0.2,0.2,1.0,0.4,0.4,0.4,0.2
9.B.111,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.B.125,0.5,0.5,0.0,0.5,0.0,0.5,1.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.5,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.5,0.0,1.0
9.B.126,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.0,0.0,0.5,1.0,1.0,0.5,0.5,0.5,0.0,1.0,0.5,0.5,1.0,1.0,0.5,0.5,0.5,0.5,0.5,1.0
9.B.141,1.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0
9.B.143,0.25,0.25,0.0,0.0,0.0,0.25,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.25,0.0,0.5,0.25
9.B.144,0.5,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.0
9.B.146,0.33,0.67,0.33,0.67,0.67,0.33,1.0,0.0,0.33,0.67,0.0,0.67,0.67,0.67,0.67,0.33,0.67,0.67,0.67,0.67,1.0,1.0,0.67,1.0,0.67,0.67,0.67,0.33,0.67
9.B.149,0.25,0.75,0.25,0.25,0.25,0.25,0.5,0.0,0.25,0.5,0.0,0.25,0.25,0.25,0.25,0.25,0.25,0.5,0.25,0.25,0.25,1.0,0.25,0.25,0.25,0.5,0.25,0.25,0.25
9.B.157,0.6,0.8,0.6,0.0,0.6,1.0,0.8,0.0,0.6,0.0,0.0,0.0,0.6,0.0,0.0,0.6,0.6,0.0,0.6,0.0,0.6,0.8,0.0,0.6,0.6,0.8,0.8,0.6,0.8
9.B.158,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
9.B.174,0.33,0.33,0.33,0.0,0.33,0.33,0.33,0.0,0.67,0.33,0.0,1.0,0.33,0.0,0.0,0.67,0.33,0.33,0.33,1.0,0.33,0.33,0.0,0.33,0.33,0.33,0.33,0.67,0.67
9.B.223,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
9.B.238,0.44,1.0,0.52,0.16,0.4,0.4,0.04,0.0,0.12,0.0,0.0,0.0,0.0,0.28,0.2,0.16,0.4,0.0,0.0,0.0,0.0,0.04,0.24,0.0,0.36,0.84,0.16,0.08,0.84
9.B.261,0.5,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,1.0,0.0,0.0
9.B.268,0.33,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.33,0.0,0.0
9.B.273,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
9.B.325,0.5,1.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.3,0.0,0.0
9.B.330,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9.B.354,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0
9.B.371,0.17,0.33,0.33,0.17,0.17,0.17,1.0,0.0,1.0,0.5,0.0,0.17,0.5,0.33,0.17,0.5,0.17,0.33,0.5,0.17,0.33,1.0,0.33,0.33,0.33,0.5,0.0,1.0,0.17
9.B.391,0.67,0.67,0.33,0.33,0.0,0.67,0.33,0.0,0.33,0.33,0.0,0.0,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.0,0.33,0.67,0.67,0.33,0.67,1.0,0.67,0.33,0.33
9.B.402,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.A.11,0.0,0.33,0.33,0.0,0.33,0.0,0.67,0.0,0.67,0.33,0.0,0.0,0.33,0.33,0.0,1.0,0.33,1.0,0.33,0.0,0.33,0.67,0.33,0.33,0.33,0.33,0.0,0.67,0.33
1.B.40,0.0,0.1,0.0,0.0,0.0,0.0,0.2,0.0,0.1,0.3,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.3,0.0,0.0,0.1,1.0,0.0,0.3,0.0,0.1,0.1,0.1,0.5
1.E.29,0.0,1.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.33,0.0,0.0
1.E.43,0.0,0.33,0.0,0.33,0.33,0.0,0.67,0.0,0.33,0.0,0.0,0.33,0.33,0.33,0.33,0.33,0.33,0.0,0.33,0.0,0.33,1.0,0.33,0.67,0.33,0.0,0.33,0.33,1.0
1.S.1,0.0,0.1,0.4,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.3,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.3,0.0,0.0
1.S.2,0.0,0.5,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.5,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.5,0.5,0.0,0.0
1.W.2,0.0,0.33,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.33,0.0,0.33,0.33,0.0,0.0,0.0,0.0,0.33,0.0,0.33,0.67,0.0,0.0
1.W.7,0.0,0.5,0.0,0.0,0.25,0.25,0.25,0.0,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.25,0.0
1.W.9,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.A.5,0.0,0.5,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.0,0.5
2.A.6.3,0.0,0.12,0.25,0.0,0.12,0.0,0.75,0.0,0.12,0.38,0.0,0.0,0.0,0.0,0.0,0.38,0.12,0.0,0.0,0.0,0.25,1.0,0.0,0.25,0.12,0.12,0.0,0.12,0.5
2.A.7.18,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2.A.7.33,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.5,0.5,0.0,0.0
2.A.10,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.33,0.0,0.33
2.A.21,0.0,0.83,1.0,0.33,0.33,0.33,0.33,0.0,0.67,0.5,0.0,0.17,0.5,0.67,0.5,1.0,0.33,0.5,0.83,0.33,1.0,0.67,1.0,1.0,0.33,0.5,0.0,0.5,0.83
2.A.36,0.0,0.25,1.0,0.0,0.5,0.0,1.0,0.0,0.25,0.0,0.0,0.25,0.75,0.25,0.0,0.25,0.75,0.0,0.75,0.0,1.0,0.75,0.0,1.0,0.5,0.25,0.0,0.25,0.25
2.A.50,0.0,0.75,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.25,0.0,0.0,0.5,1.0,0.25,0.0,0.0
2.A.66.6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.A.66.12,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.5
2.A.67,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
2.A.69,0.0,0.83,0.33,0.17,0.17,0.17,0.17,0.0,0.5,0.83,0.0,0.17,0.5,0.0,0.17,0.5,0.17,1.0,0.33,0.0,0.33,0.5,0.17,0.33,0.17,0.67,0.17,0.5,0.17
2.A.72,0.0,0.5,1.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.0,1.0,0.5,0.0,0.5,0.0,0.5,0.5,0.5,0.5
2.A.76,0.0,0.05,0.45,0.05,0.0,0.0,0.77,0.0,0.77,0.05,0.0,0.05,0.45,0.14,0.09,0.68,0.05,0.0,0.32,0.05,0.5,0.86,0.09,0.27,0.05,0.14,0.0,1.0,0.0
2.A.85,0.0,0.14,0.43,0.0,0.43,0.0,0.86,0.0,0.43,0.0,0.0,0.0,1.0,0.14,0.0,0.43,0.57,0.0,0.86,0.0,0.43,1.0,0.0,0.29,0.57,0.14,0.29,0.43,0.43
2.A.114,0.0,0.25,0.5,0.25,0.0,0.0,0.5,0.0,0.5,0.25,0.0,0.0,1.0,0.25,0.25,0.5,0.0,0.75,1.0,0.0,0.25,0.5,0.25,0.25,0.0,0.25,0.0,0.5,0.25
2.A.118,0.0,1.0,0.67,0.0,0.33,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.33,0.0,1.0,0.0,0.0,1.0,0.33,0.67,0.33,0.0,0.0
3.A.3.23,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0
3.A.7,0.0,0.38,0.37,0.0,0.1,0.29,0.16,0.0,0.37,0.18,0.0,0.0,0.37,0.0,0.0,0.37,0.1,0.0,1.0,0.0,0.37,0.68,0.0,0.47,0.0,0.0,0.0,0.37,0.54
3.A.10,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
3.A.13,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.D.7,0.0,0.29,1.0,0.0,0.0,0.0,0.43,0.0,0.86,0.0,0.0,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.29,0.43,1.0,0.43,0.0,1.0,0.0,0.29,0.0,0.86,0.0
3.D.11,0.0,0.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0
4.A.2,0.0,0.08,0.62,0.15,0.38,0.0,0.0,0.0,0.15,0.15,0.23,0.0,1.0,0.15,0.15,0.0,0.15,0.15,0.69,0.0,0.62,0.15,0.0,0.69,0.15,0.08,0.0,0.15,0.15
4.A.3,0.0,0.21,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.79,0.0,0.0,0.0,0.08,0.0,1.0,0.0,0.0,0.0,0.0,0.42,0.08,0.21,0.25,0.0,0.0
4.C.1,0.0,0.14,0.93,0.43,0.36,0.0,0.86,0.0,1.0,0.07,0.0,0.36,0.64,0.57,0.43,0.64,0.36,0.07,0.71,0.36,0.93,0.86,0.57,0.57,0.21,0.14,0.0,1.0,0.64
4.D.2,0.0,0.5,0.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.5,1.0,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0,1.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0
8.A.147,0.0,0.29,0.43,0.29,0.29,0.0,0.71,0.0,0.29,0.14,0.0,0.29,0.43,0.29,0.29,0.71,0.29,0.0,0.43,0.14,0.43,1.0,0.29,0.43,0.29,0.14,0.0,0.29,0.29
8.A.176,0.0,0.17,0.33,0.17,0.33,0.0,0.33,0.0,0.17,0.17,0.0,0.0,0.33,1.0,0.17,0.17,0.17,0.17,0.33,0.0,0.33,0.33,0.17,0.33,0.33,0.33,0.17,0.17,0.5
9.A.24,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
9.A.28,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0
9.B.34,0.0,0.24,0.0,0.0,0.06,0.0,0.18,0.0,0.53,0.0,0.0,0.0,0.65,0.0,0.0,0.76,0.06,0.0,0.47,0.0,0.0,0.41,0.0,0.47,0.06,0.47,0.0,0.41,1.0
9.B.67,0.0,0.67,0.67,0.0,0.67,0.0,1.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.67,0.0,0.0,1.0,0.67,0.0,1.0,0.0,0.0,0.33,0.33,0.33
9.B.115,0.0,0.5,0.5,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.5,0.0,0.5,0.0,0.5,1.0
9.B.120,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0
9.B.154,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,1.0
9.B.182,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
9.B.300,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
9.B.323,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
9.B.395,0.0,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0
1.A.1,0.0,0.0,0.5,0.25,0.0,0.0,0.25,0.0,1.0,0.0,0.0,0.0,0.25,0.25,0.25,1.0,0.0,0.0,0.25,0.0,0.5,0.25,0.25,0.5,0.0,0.0,0.0,1.0,0.5
1.A.8,0.0,0.0,0.67,0.33,0.33,0.0,1.0,0.0,0.33,0.33,0.33,0.33,1.0,0.33,0.33,0.33,0.33,0.33,1.0,0.0,0.67,0.67,0.0,0.67,0.33,0.0,0.0,0.33,0.33
1.A.9,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0
1.A.12,0.0,0.0,0.55,0.0,0.0,0.0,0.91,0.0,0.73,0.0,0.0,0.0,0.36,0.0,0.0,0.36,0.0,0.0,0.36,0.0,0.64,1.0,0.0,0.45,0.0,0.0,0.0,0.82,0.64
1.A.14,0.0,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.5,0.0,1.0,0.5,0.5,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0
1.A.22,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
1.A.30,0.0,0.0,0.87,0.0,0.0,0.0,0.53,0.0,0.53,0.27,0.0,0.13,0.27,0.0,0.0,0.67,0.0,0.4,0.27,0.13,0.87,1.0,0.0,0.73,0.0,0.0,0.0,0.47,0.6
1.A.77,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
1.A.104,0.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.5
1.B.1,0.0,0.0,0.07,0.0,0.0,0.0,0.48,0.0,0.05,0.0,0.0,0.0,0.14,0.0,0.0,0.07,0.0,0.0,0.12,0.0,0.05,1.0,0.0,0.05,0.0,0.0,0.0,0.07,0.03
1.B.3,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.44,0.0,0.0,0.11,1.0,0.0,0.0,0.78,0.0,0.0,1.0,0.11,0.22,0.0,0.0,0.33,0.0,0.0,0.0,0.22,0.0
1.B.6,0.0,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.14,0.29,0.0,1.0,0.43,0.0,0.0,0.71,0.0,0.29,0.43,0.71,0.86,0.14,0.0,0.86,0.0,0.0,0.0,0.29,0.29
1.B.9,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.4,0.2,0.0,0.0,1.0,0.0,0.0,0.4,0.4,0.6,0.0,0.0,0.6,0.0,0.0,0.0,0.6,0.2
1.B.10,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.33,0.0,0.0,1.0,0.0,0.0,0.33,0.0,0.33,0.33,0.0,0.33,0.0,0.0,0.0,0.33,0.0
1.B.11,0.0,0.0,0.1,0.0,0.0,0.0,0.4,0.0,0.4,0.0,0.0,0.0,1.0,0.0,0.0,0.7,0.0,0.0,0.8,0.0,0.2,0.1,0.0,0.1,0.0,0.0,0.0,0.4,0.1
1.B.14,0.0,0.0,0.16,0.0,0.0,0.0,0.21,0.0,0.31,0.03,0.0,0.7,0.2,0.0,0.0,0.46,0.0,0.03,0.23,0.7,0.2,0.38,0.0,0.15,0.0,0.0,0.0,0.34,1.0
1.B.17,0.0,0.0,0.14,0.0,0.0,0.0,0.43,0.0,0.29,0.14,0.0,0.14,0.57,0.0,0.0,0.0,0.0,0.14,0.57,0.0,0.29,1.0,0.0,0.14,0.0,0.0,0.0,0.43,0.29
1.B.18,0.0,0.0,0.25,0.0,0.0,0.0,0.5,0.0,0.25,0.0,0.0,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.5,0.5,1.0,0.0,0.75,0.0,0.0,0.0,0.25,0.25
1.B.22,0.0,0.0,0.43,0.0,0.0,0.0,0.86,0.0,0.57,0.14,0.0,0.0,0.57,0.0,0.0,0.57,0.0,0.14,0.57,0.0,0.43,0.71,0.0,0.29,0.0,0.0,0.0,0.57,1.0
1.B.25,0.0,0.0,0.11,0.0,0.0,0.0,0.11,0.0,0.78,0.0,0.0,0.0,0.22,0.0,0.0,0.22,0.0,0.0,0.22,0.0,0.11,0.11,0.0,0.11,0.0,0.0,0.0,1.0,0.0
1.B.39,0.0,0.0,0.2,0.0,0.0,0.0,0.8,0.0,0.6,0.0,0.0,0.0,0.2,0.0,0.0,1.0,0.0,0.0,0.2,0.0,0.2,0.6,0.0,0.2,0.0,0.0,0.0,0.6,0.6
1.B.42,0.0,0.0,1.0,0.0,0.0,0.0,0.14,0.0,0.14,0.14,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.14,1.0,0.14,0.0,1.0,0.0,0.0,0.0,0.14,0.14
1.B.46,0.0,0.0,0.67,0.0,0.0,0.0,0.67,0.0,1.0,0.0,0.0,0.0,0.67,0.0,0.0,1.0,0.0,0.0,0.67,0.0,0.67,0.67,0.0,0.67,0.0,0.0,0.0,1.0,1.0
1.B.48,0.0,0.0,0.5,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.5,0.25,0.0,1.0,0.0,0.0,0.0,0.25,0.0
1.B.76,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.5,0.5,0.0,0.0,1.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5
1.B.78,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.C.14,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.C.57,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.C.73,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.C.80,0.0,0.0,0.2,0.0,0.0,0.0,0.2,0.0,0.1,0.0,0.0,0.0,1.0,0.0,0.0,0.6,0.0,0.0,0.7,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0
1.C.126,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.0,0.5,1.0,0.5,0.5,0.0,0.5,0.0,0.0,0.0,0.5,0.5
1.E.6,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.E.64,0.0,0.0,0.33,0.0,0.0,0.0,0.67,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.33,0.0
1.H.3,0.0,0.0,0.33,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.33,0.0,0.67,0.0,0.0,0.0,0.0,0.67,0.0
1.M.1,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1.W.1,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.A.6.1,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.5,0.83,0.0,0.5,0.0,0.0,0.0,0.5,1.0
2.A.6.2,0.0,0.0,0.35,0.0,0.0,0.0,0.46,0.0,0.46,0.15,0.0,0.15,0.92,0.0,0.0,0.62,0.0,0.19,0.62,0.23,0.46,1.0,0.0,0.5,0.0,0.0,0.0,0.54,0.69
2.A.6.4,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,0.0,0.25,0.5,0.0,0.0,0.5,0.0,0.5,0.5,0.25,1.0,0.5,0.0,1.0,0.0,0.0,0.0,0.5,0.5
